start_time,end_time,inches
2021-04-25 19:30:00+00:00,2021-04-25 20:15:00+00:00,0.04
2021-04-25 20:45:00+00:00,2021-04-25 22:15:00+00:00,0.17
2021-04-25 23:15:00+00:00,2021-04-25 23:30:00+00:00,0.01
