DateTime,TimeOffset,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt,EnviroDIY_Mayfly_Temp,Digi_Cellular_SignalPercent
2021-12-29 01:30:00+00:00,-8,2021-12-28 17:30:00,357.2,29.7,11.6,3.548,11.25,109.0
2021-12-29 05:40:00+00:00,-8,2021-12-28 21:40:00,358.7,28.8,11.4,3.548,10.75,109.0
2021-12-29 13:30:00+00:00,-8,2021-12-29 05:30:00,356.7,28.5,11.3,3.548,10.25,109.0
2021-12-30 03:10:00+00:00,-8,2021-12-29 19:10:00,360.3,26.5,11.4,3.548,10.25,109.0
2021-12-31 23:20:00+00:00,-8,2021-12-31 15:20:00,361.3,26.0,11.6,3.548,19.5,109.0
2022-01-02 01:30:00+00:00,-8,2022-01-01 17:30:00,364.0,26.2,12.1,3.548,17.5,109.0
2022-01-19 00:50:00+00:00,-8,2022-01-18 16:50:00,425.3,17.2,20.7,4.124,22.25,109.0
2022-01-19 01:00:00+00:00,-8,2022-01-18 17:00:00,424.7,17.5,20.7,4.124,22.0,109.0
2022-01-19 01:10:00+00:00,-8,2022-01-18 17:10:00,425.8,17.8,20.6,4.124,21.5,71.0
2022-01-19 01:20:00+00:00,-8,2022-01-18 17:20:00,425.5,18.2,20.5,4.124,21.25,109.0
2022-01-19 01:30:00+00:00,-8,2022-01-18 17:30:00,424.8,17.5,20.5,4.124,21.0,71.0
2022-01-19 01:40:00+00:00,-8,2022-01-18 17:40:00,425.8,18.5,20.4,4.124,20.75,109.0
2022-01-19 01:50:00+00:00,-8,2022-01-18 17:50:00,424.5,18.2,20.4,4.124,20.5,71.0
2022-01-19 02:00:00+00:00,-8,2022-01-18 18:00:00,425.8,17.7,20.3,4.124,20.25,109.0
2022-01-19 02:10:00+00:00,-8,2022-01-18 18:10:00,424.2,17.2,20.3,4.124,20.25,109.0
2022-01-19 02:20:00+00:00,-8,2022-01-18 18:20:00,426.5,17.0,20.3,4.124,20.0,109.0
2022-01-19 02:30:00+00:00,-8,2022-01-18 18:30:00,426.0,17.7,20.2,4.124,19.75,71.0
2022-01-19 02:40:00+00:00,-8,2022-01-18 18:40:00,425.7,17.7,20.2,4.124,19.75,109.0
2022-01-19 02:50:00+00:00,-8,2022-01-18 18:50:00,424.5,16.2,20.2,4.124,19.75,109.0
2022-01-19 03:00:00+00:00,-8,2022-01-18 19:00:00,426.5,17.0,20.12,4.124,19.5,109.0
2022-01-19 03:10:00+00:00,-8,2022-01-18 19:10:00,425.8,17.2,20.1,4.124,19.5,109.0
2022-01-19 03:20:00+00:00,-8,2022-01-18 19:20:00,425.7,17.5,20.1,4.124,19.5,109.0
2022-01-19 03:30:00+00:00,-8,2022-01-18 19:30:00,426.3,17.3,20.1,4.124,19.25,109.0
2022-01-19 03:40:00+00:00,-8,2022-01-18 19:40:00,425.3,17.3,20.02,4.124,19.25,109.0
2022-01-19 03:50:00+00:00,-8,2022-01-18 19:50:00,426.7,17.2,20.0,4.124,19.25,71.0
2022-01-19 04:00:00+00:00,-8,2022-01-18 20:00:00,425.5,18.8,20.0,4.124,19.25,109.0
2022-01-19 04:10:00+00:00,-8,2022-01-18 20:10:00,425.8,18.0,20.0,4.124,19.0,109.0
2022-01-19 04:20:00+00:00,-8,2022-01-18 20:20:00,427.2,18.0,19.92,4.124,19.25,109.0
2022-01-19 04:30:00+00:00,-8,2022-01-18 20:30:00,427.0,16.7,19.9,4.124,19.0,109.0
2022-01-19 04:40:00+00:00,-8,2022-01-18 20:40:00,426.7,18.8,19.9,4.124,19.0,109.0
2022-01-19 04:50:00+00:00,-8,2022-01-18 20:50:00,425.7,17.7,19.9,4.124,19.0,109.0
2022-01-19 05:00:00+00:00,-8,2022-01-18 21:00:00,427.2,17.8,19.9,4.124,19.0,109.0
2022-01-19 05:10:00+00:00,-8,2022-01-18 21:10:00,427.0,19.2,19.9,4.124,19.0,71.0
2022-01-19 05:20:00+00:00,-8,2022-01-18 21:20:00,427.2,17.8,19.82,4.124,19.0,109.0
2022-01-19 05:30:00+00:00,-8,2022-01-18 21:30:00,426.8,18.3,19.8,4.124,18.75,109.0
2022-01-19 05:40:00+00:00,-8,2022-01-18 21:40:00,426.5,17.2,19.8,4.124,18.75,109.0
2022-01-19 05:50:00+00:00,-8,2022-01-18 21:50:00,426.8,18.5,19.8,4.124,18.75,109.0
2022-01-19 06:00:00+00:00,-8,2022-01-18 22:00:00,426.5,18.7,19.8,4.124,18.75,109.0
2022-01-19 06:10:00+00:00,-8,2022-01-18 22:10:00,425.8,17.3,19.8,4.124,18.75,109.0
2022-01-19 06:20:00+00:00,-8,2022-01-18 22:20:00,426.0,18.0,19.7,4.124,18.75,109.0
2022-01-19 06:30:00+00:00,-8,2022-01-18 22:30:00,426.3,18.0,19.7,4.124,18.75,71.0
2022-01-19 06:40:00+00:00,-8,2022-01-18 22:40:00,427.5,19.2,19.7,4.124,18.5,109.0
2022-01-19 06:50:00+00:00,-8,2022-01-18 22:50:00,426.8,19.0,19.7,4.124,18.5,109.0
2022-01-19 07:00:00+00:00,-8,2022-01-18 23:00:00,427.2,19.0,19.7,4.124,18.75,109.0
2022-01-19 07:10:00+00:00,-8,2022-01-18 23:10:00,425.7,18.3,19.7,4.124,18.75,71.0
2022-01-19 07:20:00+00:00,-8,2022-01-18 23:20:00,426.5,18.5,19.7,4.124,18.75,109.0
2022-01-19 07:30:00+00:00,-8,2022-01-18 23:30:00,426.2,18.5,19.7,4.124,18.75,109.0
2022-01-19 07:40:00+00:00,-8,2022-01-18 23:40:00,426.2,18.5,19.62,4.124,18.75,109.0
2022-01-19 07:50:00+00:00,-8,2022-01-18 23:50:00,427.0,17.8,19.62,4.124,18.75,71.0
2022-01-19 08:00:00+00:00,-8,2022-01-19 00:00:00,427.8,18.7,19.6,4.124,18.75,109.0
2022-01-19 08:10:00+00:00,-8,2022-01-19 00:10:00,426.8,19.0,19.6,4.109,18.5,109.0
2022-01-19 08:20:00+00:00,-8,2022-01-19 00:20:00,425.0,17.0,19.52,4.109,18.5,109.0
2022-01-19 08:30:00+00:00,-8,2022-01-19 00:30:00,429.2,17.8,19.5,4.109,18.5,109.0
2022-01-19 08:40:00+00:00,-8,2022-01-19 00:40:00,426.7,16.7,19.4,4.109,18.5,109.0
2022-01-19 08:50:00+00:00,-8,2022-01-19 00:50:00,428.7,16.8,19.4,4.109,18.25,109.0
2022-01-19 09:00:00+00:00,-8,2022-01-19 01:00:00,428.2,18.0,19.3,4.109,18.25,109.0
